Country,Disaster Type,Total Deaths,Disaster_Occurred
United States Of America,Storm,6000.0,1
United States Of America,Fire (Industrial),300.0,1
Jamaica,Flood,300.0,1
Jamaica,Epidemic,30.0,1
Japan,Volcanic activity,30.0,1
Türkiye,Earthquake,140.0,1
India,Drought,1250000.0,1
Cabo Verde,Drought,11000.0,1
Uganda,Epidemic,200000.0,1
Belgium,Explosion (Industrial),18.0,1
Japan,Earthquake,18.0,1
United States Of America,Fire (Miscellaneous),115.0,1
Guatemala,Volcanic activity,1000.0,1
Myanmar,Storm,600.0,1
Martinique,Volcanic activity,30000.0,1
Saint Vincent And The Grenadines,Volcanic activity,1565.0,1
Japan,Volcanic activity,125.0,1
Guatemala,Volcanic activity,6000.0,1
Soviet Union,Earthquake,4562.0,1
Guatemala,Earthquake,2000.0,1
Soviet Union,Earthquake,86.0,1
China,Earthquake,2500.0,1
United States Of America,Flood,,1
United States Of America,Flood,250.0,1
United States Of America,Fire (Miscellaneous),602.0,1
Canada,Mass movement (dry),76.0,1
Türkiye,Earthquake,3560.0,1
Cayman Islands,Storm,,1
Jamaica,Storm,65.0,1
Martinique,Storm,8.0,1
United States Of America,Storm,98.0,1
France,Fire (Miscellaneous),84.0,1
Comoros,Volcanic activity,17.0,1
Türkiye,Earthquake,1700.0,1
Israel,Earthquake,20.0,1
Türkiye,Earthquake,1000.0,1
Iran (Islamic Republic Of),Earthquake,350.0,1
Niger,Drought,,1
United States Of America,Water,1000.0,1
Bangladesh,Storm,,1
United States Of America,Rail,96.0,1
Belgium,Explosion (Miscellaneous),15.0,1
Taiwan (Province Of China),Earthquake,3.0,1
Greece,Earthquake,4.0,1
Taiwan (Province Of China),Earthquake,145.0,1
Italy,Earthquake,557.0,1
India,Earthquake,20000.0,1
Philippines,Storm,240.0,1
Canada,Mass movement (dry),18.0,1
Belgium,Explosion (Industrial),16.0,1
Japan,Earthquake,41.0,1
Albania,Earthquake,120.0,1
Japan,Earthquake,11.0,1
China,Earthquake,,1
Taiwan (Province Of China),Earthquake,1258.0,1
Colombia,Earthquake,400.0,1
United States Of America,Fire (Miscellaneous),1188.0,1
United States Of America,Storm,164.0,1
United States Of America,Storm,134.0,1
France,Explosion (Industrial),1099.0,1
Italy,Volcanic activity,700.0,1
United States Of America,Earthquake,700.0,1
Chile,Earthquake,20000.0,1
"China, Hong Kong Special Administrative Region",Storm,10000.0,1
United Kingdom Of Great Britain And Northern Ireland,Rail,24.0,1
France,Water,34.0,1
Taiwan (Province Of China),Earthquake,15.0,1
China,Earthquake,280.0,1
Niger,Drought,,1
India,Epidemic,1300000.0,1
Jamaica,Earthquake,1200.0,1
China,Earthquake,12000.0,1
Canada,Collapse (Miscellaneous),75.0,1
Greece,Flood,100.0,1
Spain,Flood,32.0,1
Spain,Flood,21.0,1
Germany,Industrial accident (General),360.0,1
United States Of America,Fire (Miscellaneous),18.0,1
United States Of America,Fire (Miscellaneous),161.0,1
Canada,Fire (Miscellaneous),100.0,1
Romania,Earthquake,,1
Italy,Earthquake,75000.0,1
United States Of America,Fire (Miscellaneous),173.0,1
Canada,Mass movement (dry),33.0,1
India,Explosion (Industrial),20.0,1
Belgium,Explosion (Industrial),18.0,1
China,Epidemic,1500000.0,1
Indonesia,Epidemic,40.0,1
Cuba,Storm,29.0,1
United States Of America,Storm,371.0,1
United States Of America,Storm,41.0,1
Iran (Islamic Republic Of),Earthquake,5000.0,1
Mexico,Fire (Miscellaneous),250.0,1
France,Earthquake,46.0,1
Bangladesh,Storm,172.0,1
Haiti,Storm,150.0,1
Bangladesh,Storm,,1
Morocco,Earthquake,100.0,1
Jamaica,Mass movement (wet),53.0,1
United States Of America,Flood,72.0,1
Taiwan (Province Of China),Earthquake,9.0,1
Portugal,Earthquake,30.0,1
China,Earthquake,21.0,1
Japan,Earthquake,41.0,1
Pakistan,Earthquake,231.0,1
China,Epidemic,60000.0,1
United States Of America,Storm,30.0,1
Costa Rica,Earthquake,1750.0,1
Algeria,Earthquake,12.0,1
Canada,Mass movement (wet),62.0,1
Canada,Rail,63.0,1
Japan,Flood,1379.0,1
India,Explosion (Industrial),11.0,1
India,Explosion (Industrial),14.0,1
India,Explosion (Industrial),14.0,1
Taiwan (Province Of China),Earthquake,60.0,1
Costa Rica,Earthquake,700.0,1
France,Flood,16.0,1
Burkina Faso,Drought,,1
Cabo Verde,Drought,,1
Gambia,Drought,,1
Guinea-Bissau,Drought,,1
Mali,Drought,,1
Mauritania,Drought,,1
Niger,Drought,85000.0,1
Senegal,Drought,,1
Chad,Drought,,1
Philippines,Volcanic activity,1335.0,1
China,Flood,100000.0,1
Bangladesh,Storm,,1
Taiwan (Province Of China),Storm,1000.0,1
United States Of America,Fire (Miscellaneous),145.0,1
Canada,Wildfire,73.0,1
United States Of America,Collapse (Miscellaneous),80.0,1
Kazakhstan,Earthquake,450.0,1
Soviet Union,Earthquake,90.0,1
Iran (Islamic Republic Of),Earthquake,700.0,1
Mexico,Earthquake,45.0,1
Japan,Earthquake,12.0,1
Spain,Water,500.0,1
United Kingdom Of Great Britain And Northern Ireland,Water,1500.0,1
China,Storm,50000.0,1
Türkiye,Earthquake,923.0,1
Japan,Storm,1000.0,1
Japan,Water,1000.0,1
Philippines,Storm,,1
Cuba,Storm,5.0,1
Jamaica,Storm,142.0,1
Canada,Storm,28.0,1
United Kingdom Of Great Britain And Northern Ireland,Explosion (Industrial),439.0,1
Niger,Infestation,,1
United States Of America,Storm,192.0,1
Romania,Earthquake,,1
Peru,Earthquake,150.0,1
Germany,Air,28.0,1
Canada,Water,235.0,1
