Country,Predicted_Disaster_Risk,Historical_Risk,Combined_Risk,Year
Afghanistan,0.4903526734926052,134.4418604651163,0.3441966535127982,2025
Albania,0.38412969283276455,46.72222222222222,0.26922086021909347,2025
Algeria,0.4840216154721274,97.97841726618705,0.3395073121454904,2025
American Samoa,0.4992576791808874,43.333333333333336,0.3497865094149726,2025
Angola,0.4700511945392491,83.87378640776699,0.32962837348711604,2025
Anguilla,0.4521046643913538,7.666666666666667,0.31652742724111754,2025
Antigua And Barbuda,0.4698748577929465,1.625,0.32892388047962573,2025
Argentina,0.48977246871444824,106.77165354330708,0.3435950303803157,2025
Armenia,0.48741751990898746,253.08333333333334,0.34298020417210495,2025
Australia,0.389613196814562,19.78481012658228,0.2728690101432586,2025
Austria,0.4469425483503982,68.44444444444444,0.313343318555085,2025
Azerbaijan,0.3341552901023891,34.52173913043478,0.23415258640286066,2025
Azores Islands,0.4084897610921502,48.85714285714285,0.28628799042609687,2025
Bahamas,0.46261945392491466,48.04347826086956,0.3241730271693081,2025
Bahrain,0.3862684869169511,50.85714285714285,0.2707472277644583,2025
Bangladesh,0.43834186575654155,5494.018248175183,0.34565251491548227,2025
Barbados,0.44999715585893063,15.5,0.3151075108740079,2025
Belarus,0.4625796359499431,18.0,0.3239329085139676,2025
Belgium,0.4996188850967008,71.99159663865547,0.3502418135970777,2025
Belize,0.3596160409556314,171.0909090909091,0.2529399227236496,2025
Benin,0.4601820250284414,36.271186440677965,0.3223836600499241,2025
Bermuda,0.4554038680318544,16.666666666666668,0.31890045146397167,2025
Bhutan,0.37411831626848696,39.25,0.26216010813508217,2025
Bolivia (Plurinational State Of),0.468273606370876,29.56153846153846,0.3280003658058678,2025
Bosnia And Herzegovina,0.5211405005688282,59.72222222222222,0.36522026583084355,2025
Botswana,0.4782480091012514,88.375,0.33539794309135024,2025
Brazil,0.4596843003412969,52.892682926829266,0.3221526774999616,2025
British Virgin Islands,0.489820819112628,9.0,0.34293815505334335,2025
Brunei Darussalam,0.42,,0.297134343265268,2025
Bulgaria,0.4599829351535837,135.88235294117646,0.3229480132225651,2025
Burkina Faso,0.4588794084186576,287.741935483871,0.32324837634672854,2025
Burundi,0.4765870307167235,34.07692307692308,0.33385166237183606,2025
Cabo Verde,0.5589163822525598,5337.8125,0.42895114056979633,2025
Cambodia,0.46625995449374286,79.02380952380952,0.326940242160641,2025
Cameroon,0.4648179749715586,82.41584158415841,0.3259548199482639,2025
Canada,0.44999715585893063,378.9872611464968,0.3176754140656163,2025
Canary Islands,0.378731513083049,59.94736842105263,0.26553556516550125,2025
Cayman Islands,0.3868259385665529,56.0,0.27117377630461037,2025
Central African Republic,0.30251137656427757,36.0,0.2120122902930093,2025
Chad,0.4800995449374289,224.75999999999996,0.3376575278074738,2025
Chile,0.45610068259385667,542.3805309734513,0.3231021958576468,2025
China,0.50023606370876,7023.609837898267,0.3997844528799734,2025
"China, Hong Kong Special Administrative Region",0.46867178612059157,326.9605263157895,0.33038010559105685,2025
"China, Macao Special Administrative Region",0.42012514220705344,10.0,0.29415824584994155,2025
Colombia,0.4778327645051194,142.88111888111888,0.3354923374639648,2025
Comoros,0.4893799772468714,48.6764705882353,0.34290986535158025,2025
Congo,0.4598521046643914,125.73469387755102,0.3227847424184018,2025
Cook Islands,0.3699971558589306,8.0,0.25905452614525476,2025
Costa Rica,0.5129067121729238,54.087719298245624,0.359416808272499,2025
Croatia,0.3831399317406144,168.9047619047619,0.269391201951048,2025
Cuba,0.5293458475540387,81.84146341463415,0.3711202729864649,2025
Curaçao,0.46953924914675765,24.0,0.3288470255347404,2025
Cyprus,0.48616040955631395,48.214285714285715,0.3406529028028327,2025
Czechia,0.4962599544937429,54.42857142857143,0.3477664858914284,2025
Czechoslovakia,0.503273606370876,39.25,0.35256881120675454,2025
Côte D’Ivoire,0.41028441410693967,31.203125,0.2874195284234411,2025
Democratic People'S Republic Of Korea,0.458273606370876,95.26190476190477,0.3214645146175219,2025
Democratic Republic Of The Congo,0.42198805460750854,90.94207317073169,0.296034110369149,2025
Denmark,0.41045790671217286,44.294117647058826,0.2876334562730395,2025
Djibouti,0.4743714448236632,40.17391304347826,0.3323438252279723,2025
Dominica,0.4898378839590444,21.571428571428577,0.34303891294355426,2025
Dominican Republic,0.4997980659840728,83.37931034482759,0.3504476902078167,2025
Ecuador,0.43986063708759954,133.848,0.3088480326245394,2025
Egypt,0.38940557451649604,76.3048780487805,0.27312296793034113,2025
El Salvador,0.32013936291240047,122.04285714285714,0.22495974172960972,2025
Equatorial Guinea,0.4494368600682594,28.0,0.3148036117017933,2025
Eritrea,0.47303469852104657,37.8,0.3313913319976483,2025
Estonia,0.48004550625711034,131.1,0.33695802743858183,2025
Eswatini,0.37136803185438,70.27272727272727,0.2604540731505044,2025
Ethiopia,0.4901023890784983,3298.0708661417325,0.36637132438842873,2025
Fiji,0.4808361774744027,15.159090909090908,0.3366924176080769,2025
Finland,0.4739163822525597,88.2857142857143,0.3323651735266857,2025
France,0.3536234357224118,205.22522522522522,0.24898624539126923,2025
French Guiana,0.440358361774744,10.0,0.3083214995473249,2025
French Polynesia,0.45497155858930605,8.5,0.31854014037176775,2025
Gabon,0.3845250284414107,24.176470588235293,0.26933831774049755,2025
